temp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,visibility,weather_main,weather_desc,lat,lon,altitude,sea_level,dew_point,clouds,day_of_week,train_number,train_name,origin_code,origin_name,dest_code,dest_name,scheduled_arr_time,actual_arr_time,scheduled_dept_time,actual_dept_time,dwell_minutes,day_of_journey,curr_station_code,tracks_on_route,maintenance_type,trains_nearby
23.9,25.4,20.9,26.8,77,1009,62.8,328,6107,Clear,clear sky,14.6849,71.8131,272,1013,16.8,14,Monday,94960,Train 94960,STN22,Station STN22,STN87,Station STN87,2025-06-02 00:00:00,2025-06-02 00:02:47.612748,2025-06-02 00:06:00,2025-06-02 00:14:33.603177,11,2,STN24,10,None,3
28.3,25.6,26.9,32.1,72,1000,54.6,45,9474,Thunderstorm,thunderstorm,35.5215,74.2092,1606,993,23.8,93,Tuesday,35807,Train 35807,STN4,Station STN4,STN88,Station STN88,2025-08-05 04:15:00,2025-08-05 04:24:46.861519,2025-08-05 04:19:00,2025-08-05 04:34:29.021163,9,1,STN56,8,None,2
26.4,27.1,25.3,28.1,52,1043,53.2,73,8912,Thunderstorm,thunderstorm,17.1649,94.6148,721,1033,17.4,30,Sunday,11999,Train 11999,STN11,Station STN11,STN91,Station STN91,2025-08-10 15:30:00,2025-08-10 15:49:30.217477,2025-08-10 15:49:00,2025-08-10 16:09:24.469832,19,2,STN53,8,,10
20.8,23.8,20.7,24.6,64,1050,22.1,38,9244,Clouds,scattered clouds,18.2196,71.3468,2410,1052,13.2,89,Monday,47124,Train 47124,STN9,Station STN9,STN90,Station STN90,2025-07-14 03:45:00,2025-07-14 03:51:57.073832,2025-07-14 03:56:00,2025-07-14 04:07:56.342439,15,3,STN82,12,,11
25.0,23.4,23.4,28.1,74,991,9.6,37,8456,Thunderstorm,thunderstorm,16.3535,83.9616,2024,983,18.1,48,Monday,49313,Train 49313,STN22,Station STN22,STN76,Station STN76,2025-07-14 10:15:00,2025-07-14 10:24:13.730674,2025-07-14 10:26:00,2025-07-14 10:33:53.990149,9,2,STN33,11,,2
20.3,22.4,18.5,23.3,47,985,38.9,232,9173,Clouds,scattered clouds,21.9594,94.6392,2502,980,14.6,53,Wednesday,92892,Train 92892,STN36,Station STN36,STN62,Station STN62,2025-07-30 00:00:00,2025-07-30 00:06:47.043752,2025-07-30 00:17:00,2025-07-30 00:22:02.254975,15,1,STN14,7,None,13
-2.1,-4.4,-5.7,-0.8,66,1010,69.2,283,8848,Snow,light snow,29.4611,88.6632,1272,1005,-7.3,55,Tuesday,34855,Train 34855,STN22,Station STN22,STN64,Station STN64,2025-06-10 19:30:00,2025-06-10 19:50:46.345725,2025-06-10 19:51:00,2025-06-10 20:18:03.551300,27,1,STN82,7,None,17
21.3,18.8,17.8,23.5,43,1031,56.8,13,7769,Clear,clear sky,12.745,72.2848,1327,1021,15.7,12,Wednesday,86731,Train 86731,STN45,Station STN45,STN96,Station STN96,2025-08-06 08:00:00,2025-08-06 08:07:19.403958,2025-08-06 08:04:00,2025-08-06 08:12:29.387409,5,3,STN100,1,,2
-7.8,-9.6,-11.0,-5.7,69,991,62.7,119,8646,Snow,light snow,22.4118,83.6774,1153,986,-11.0,59,Monday,97538,Train 97538,STN16,Station STN16,STN69,Station STN69,2025-06-02 03:45:00,2025-06-02 04:19:01.747322,2025-06-02 04:07:00,2025-06-02 04:47:46.867475,28,2,STN37,3,,24
25.5,23.3,23.8,27.0,74,963,37.9,90,7710,Clear,clear sky,24.5526,95.5661,20,968,15.9,16,Monday,88752,Train 88752,STN11,Station STN11,STN63,Station STN63,2025-07-07 06:15:00,2025-07-07 06:21:46.390262,2025-07-07 06:22:00,2025-07-07 06:27:17.525106,5,1,STN19,1,,1
27.1,25.8,26.1,30.3,69,994,36.5,18,7232,Rain,moderate rain,24.4582,83.6033,1164,987,21.9,50,Sunday,84048,Train 84048,STN1,Station STN1,STN55,Station STN55,2025-06-15 04:45:00,2025-06-15 04:51:12.281808,2025-06-15 05:03:00,2025-06-15 05:15:16.980982,24,3,STN50,9,None,0
29.7,32.2,28.8,30.6,74,992,9.1,60,10000,Clear,clear sky,11.0678,77.5812,1468,999,21.0,12,Tuesday,28913,Train 28913,STN28,Station STN28,STN85,Station STN85,2025-07-01 03:30:00,2025-07-01 03:36:02.172591,2025-07-01 03:39:00,2025-07-01 03:45:30.881189,9,2,STN5,7,Major,11
22.1,24.5,20.1,22.8,77,1028,108.3,312,4782,Cyclone,strong cyclone winds,9.3352,81.7283,2979,1021,20.1,69,Saturday,97050,Train 97050,STN50,Station STN50,STN89,Station STN89,2025-07-05 15:15:00,2025-07-05 15:29:59.293721,2025-07-05 15:19:00,2025-07-05 15:38:22.198254,8,1,STN78,2,Minor,3
25.6,25.3,22.7,29.0,69,1004,66.7,199,8569,Clouds,scattered clouds,12.9083,91.5909,580,1014,19.5,90,Thursday,74520,Train 74520,STN6,Station STN6,STN52,Station STN52,2025-06-12 09:00:00,2025-06-12 09:25:22.285732,2025-06-12 09:04:00,2025-06-12 09:31:04.557392,5,1,STN83,3,,23
25.9,25.6,23.8,26.5,77,1035,35.7,208,7013,Rain,moderate rain,14.2419,80.2584,2317,1040,19.2,56,Saturday,73965,Train 73965,STN39,Station STN39,STN79,Station STN79,2025-08-23 04:15:00,2025-08-23 06:38:51.235959,2025-08-23 04:34:00,2025-08-23 07:03:10.768171,24,2,STN40,0,,22
34.8,35.0,31.3,37.2,56,992,2.6,229,8153,Clear,clear sky,14.0902,87.585,1930,1002,25.1,9,Friday,56246,Train 56246,STN25,Station STN25,STN99,Station STN99,2025-06-20 05:45:00,2025-06-20 05:50:09.557396,2025-06-20 05:54:00,2025-06-20 05:59:03.994398,8,2,STN4,2,None,1
24.8,25.8,21.1,27.2,52,1026,40.5,295,10000,Rain,moderate rain,23.0001,75.5826,2275,1021,15.2,91,Saturday,37498,Train 37498,STN5,Station STN5,STN72,Station STN72,2025-10-11 16:45:00,2025-10-11 16:57:24.847684,2025-10-11 17:03:00,2025-10-11 17:20:29.552692,23,1,STN92,9,,9
23.6,22.5,23.3,26.8,85,1035,39.4,307,10000,Thunderstorm,thunderstorm,22.8327,75.334,1193,1034,15.8,90,Monday,52417,Train 52417,STN1,Station STN1,STN54,Station STN54,2025-09-15 16:30:00,2025-09-15 16:39:11.119068,2025-09-15 16:43:00,2025-09-15 16:51:10.261494,11,1,STN91,8,,10
22.8,22.4,19.1,25.7,87,1005,52.1,122,9137,Thunderstorm,thunderstorm,18.2158,94.1405,701,1011,14.0,27,Thursday,32753,Train 32753,STN21,Station STN21,STN62,Station STN62,2025-08-07 13:00:00,2025-08-07 15:38:14.925104,2025-08-07 13:23:00,2025-08-07 16:08:30.708475,30,1,STN23,0,,23
26.1,24.0,22.9,28.8,85,1003,68.7,44,9105,Rain,moderate rain,28.7527,70.7232,114,1009,23.9,64,Sunday,36138,Train 36138,STN47,Station STN47,STN89,Station STN89,2025-06-01 09:45:00,2025-06-01 10:01:55.578851,2025-06-01 09:54:00,2025-06-01 10:16:11.499727,14,1,STN50,8,None,18
7.0,8.2,6.6,7.4,73,987,48.9,351,367,Fog,foggy,23.5093,96.7155,2305,978,-2.8,33,Sunday,25708,Train 25708,STN29,Station STN29,STN94,Station STN94,2025-06-15 00:30:00,2025-06-15 01:20:58.151475,2025-06-15 00:34:00,2025-06-15 01:32:53.768188,11,1,STN57,2,,25
18.1,17.1,15.8,19.3,80,986,39.7,336,7186,Rain,moderate rain,16.7169,84.8987,2156,978,11.2,28,Sunday,70525,Train 70525,STN7,Station STN7,STN54,Station STN54,2025-08-10 05:00:00,2025-08-10 06:03:25.703506,2025-08-10 05:20:00,2025-08-10 06:29:45.167498,26,1,STN96,0,Major,9
23.1,23.6,19.3,24.8,90,1009,17.4,44,9209,Clouds,scattered clouds,25.5815,91.2696,2835,1014,16.8,44,Thursday,29030,Train 29030,STN3,Station STN3,STN51,Station STN51,2025-10-23 11:45:00,2025-10-23 11:52:03.746417,2025-10-23 11:52:00,2025-10-23 12:00:27.929091,8,3,STN60,9,Major,9
44.5,45.9,41.9,45.5,73,1050,5.6,334,7079,Heatwave,extreme heat,13.6627,86.1805,2128,1050,36.6,76,Saturday,45012,Train 45012,STN6,Station STN6,STN98,Station STN98,2025-08-09 06:00:00,2025-08-09 06:06:24.155083,2025-08-09 06:10:00,2025-08-09 06:17:01.138255,10,2,STN98,6,None,1
18.7,16.9,14.8,19.2,57,1022,50.1,187,7960,Rain,moderate rain,32.7923,93.4222,133,1020,10.8,88,Sunday,51895,Train 51895,STN43,Station STN43,STN59,Station STN59,2025-08-03 07:15:00,2025-08-03 07:24:44.630198,2025-08-03 07:34:00,2025-08-03 07:44:33.533880,19,2,STN45,7,None,10
25.9,25.6,23.0,28.5,94,1028,35.0,295,8470,Clear,clear sky,8.3018,86.9728,524,1028,22.3,24,Saturday,89467,Train 89467,STN10,Station STN10,STN66,Station STN66,2025-08-16 12:00:00,2025-08-16 12:20:35.965131,2025-08-16 12:24:00,2025-08-16 12:49:49.683733,29,2,STN31,2,,6
27.1,28.3,24.1,29.2,94,1004,38.1,265,6922,Rain,moderate rain,11.4626,75.8079,2527,998,17.7,90,Friday,98615,Train 98615,STN9,Station STN9,STN85,Station STN85,2025-06-13 01:45:00,2025-06-13 02:21:53.057023,2025-06-13 02:01:00,2025-06-13 02:42:04.577607,20,3,STN59,2,,7
30.1,32.9,26.4,30.5,66,972,16.7,321,4426,Clear,clear sky,21.9771,77.0239,465,970,20.3,6,Sunday,60611,Train 60611,STN2,Station STN2,STN80,Station STN80,2025-09-14 02:15:00,2025-09-14 02:23:59.022916,2025-09-14 02:21:00,2025-09-14 02:34:50.985095,10,2,STN2,11,None,24
26.4,27.6,23.1,27.0,60,1006,44.8,75,7630,Cyclone,strong cyclone winds,14.1673,81.2769,2230,1003,22.9,84,Monday,34713,Train 34713,STN19,Station STN19,STN71,Station STN71,2025-07-14 16:45:00,2025-07-14 17:02:38.298034,2025-07-14 17:03:00,2025-07-14 17:22:01.222196,19,3,STN5,8,None,0
22.1,22.4,20.0,25.2,52,1011,52.8,351,6630,Clouds,scattered clouds,35.9333,92.3936,1964,1006,13.3,98,Thursday,41140,Train 41140,STN28,Station STN28,STN68,Station STN68,2025-06-26 07:00:00,2025-06-26 09:34:26.427499,2025-06-26 07:22:00,2025-06-26 09:55:52.866105,21,3,STN72,0,,25
24.9,24.7,21.7,26.7,52,992,8.4,275,8199,Clouds,scattered clouds,9.9167,75.7528,477,994,20.3,21,Saturday,61773,Train 61773,STN37,Station STN37,STN68,Station STN68,2025-08-23 15:00:00,2025-08-23 15:06:31.239207,2025-08-23 15:17:00,2025-08-23 15:31:19.237068,24,2,STN37,2,Minor,3
25.6,27.5,25.0,27.6,52,993,41.2,181,7334,Clouds,scattered clouds,35.6401,75.1304,1776,994,22.8,82,Friday,71685,Train 71685,STN31,Station STN31,STN76,Station STN76,2025-07-04 21:00:00,2025-07-04 21:05:36.832879,2025-07-04 21:08:00,2025-07-04 21:21:26.625497,15,3,STN38,9,Minor,16
24.6,25.9,21.7,25.4,51,981,99.4,294,9267,Cyclone,strong cyclone winds,26.6804,68.8231,1577,979,18.7,84,Sunday,92310,Train 92310,STN17,Station STN17,STN96,Station STN96,2025-06-15 09:30:00,2025-06-15 09:52:56.641269,2025-06-15 09:33:00,2025-06-15 10:02:13.476592,9,2,STN53,3,None,6
25.5,26.4,24.0,27.8,67,1003,27.7,358,9221,Rain,moderate rain,23.9245,86.697,1398,995,18.3,73,Sunday,24768,Train 24768,STN31,Station STN31,STN62,Station STN62,2025-10-05 08:15:00,2025-10-05 08:25:19.489059,2025-10-05 08:33:00,2025-10-05 08:46:01.824487,20,2,STN15,8,,3
34.7,33.9,33.3,34.9,37,1013,22.5,5,8737,Clear,clear sky,19.5436,72.5811,2841,1011,28.1,19,Tuesday,60069,Train 60069,STN3,Station STN3,STN96,Station STN96,2025-07-15 21:15:00,2025-07-15 21:24:47.802133,2025-07-15 21:29:00,2025-07-15 21:44:28.419569,19,1,STN94,8,,17
19.5,19.6,19.5,21.6,72,1017,7.4,30,10000,Rain,moderate rain,26.166,70.3285,1626,1017,12.2,24,Thursday,95265,Train 95265,STN50,Station STN50,STN71,Station STN71,2025-10-02 21:30:00,2025-10-02 21:39:58.795186,2025-10-02 21:45:00,2025-10-02 22:00:46.917434,20,3,STN35,9,Minor,1
25.0,26.3,22.8,27.9,86,1014,35.3,182,8994,Clear,clear sky,36.5751,96.3036,1441,1005,18.5,17,Wednesday,42783,Train 42783,STN20,Station STN20,STN54,Station STN54,2025-10-15 23:30:00,2025-10-15 23:35:13.604628,2025-10-15 23:34:00,2025-10-15 23:44:51.263580,9,2,STN26,10,None,3
3.4,3.9,3.1,6.3,30,1049,38.7,324,1290,Fog,foggy,22.3699,72.0399,212,1048,-2.0,35,Tuesday,64406,Train 64406,STN22,Station STN22,STN62,Station STN62,2025-10-21 22:45:00,2025-10-21 23:00:41.197893,2025-10-21 23:03:00,2025-10-21 23:18:48.806821,18,1,STN92,9,None,15
20.8,21.5,19.9,24.7,69,982,3.5,120,5974,Clouds,scattered clouds,28.3533,92.7074,1042,978,13.0,73,Wednesday,57996,Train 57996,STN34,Station STN34,STN57,Station STN57,2025-06-25 08:30:00,2025-06-25 08:47:16.638727,2025-06-25 08:42:00,2025-06-25 09:03:12.058825,15,2,STN19,4,None,20
21.5,18.6,17.9,22.0,43,992,20.2,275,10000,Clouds,scattered clouds,14.9929,85.2647,545,998,11.7,35,Sunday,38386,Train 38386,STN31,Station STN31,STN60,Station STN60,2025-08-03 16:15:00,2025-08-03 16:27:12.872900,2025-08-03 16:19:00,2025-08-03 16:29:32.377969,2,1,STN12,1,,3
17.3,15.0,14.5,17.8,100,1040,27.4,234,7883,Clouds,scattered clouds,31.571,68.5689,1741,1045,14.5,91,Saturday,81062,Train 81062,STN14,Station STN14,STN79,Station STN79,2025-06-07 03:00:00,2025-06-07 03:20:47.694664,2025-06-07 03:14:00,2025-06-07 03:36:09.015183,15,3,STN83,4,None,20
29.1,29.3,27.5,31.1,63,1027,54.8,124,6991,Clouds,scattered clouds,25.4633,82.279,2790,1037,20.4,38,Friday,39444,Train 39444,STN39,Station STN39,STN62,Station STN62,2025-09-12 02:00:00,2025-09-12 02:04:52.922179,2025-09-12 02:07:00,2025-09-12 02:14:39.843874,9,2,STN33,5,None,2
20.3,19.0,19.5,20.8,70,1041,49.0,133,4576,Clouds,scattered clouds,8.9225,93.9976,1704,1047,17.8,62,Saturday,96964,Train 96964,STN41,Station STN41,STN84,Station STN84,2025-07-12 08:45:00,2025-07-12 08:52:32.466635,2025-07-12 08:56:00,2025-07-12 09:08:00.698109,15,1,STN48,11,,12
25.3,23.8,22.4,26.9,40,1019,21.0,225,6667,Rain,moderate rain,18.4352,96.0547,1411,1014,19.5,88,Wednesday,93823,Train 93823,STN34,Station STN34,STN51,Station STN51,2025-10-08 02:30:00,2025-10-08 03:45:32.362221,2025-10-08 02:40:00,2025-10-08 04:00:18.907016,14,2,STN64,1,,20
30.7,30.1,28.3,32.3,62,1019,31.5,157,6889,Clear,clear sky,22.6838,80.6642,1141,1013,24.1,15,Monday,58665,Train 58665,STN37,Station STN37,STN78,Station STN78,2025-06-09 17:15:00,2025-06-09 17:54:49.563406,2025-06-09 17:29:00,2025-06-09 18:10:18.253458,15,1,STN47,2,,21
28.7,28.0,26.8,29.1,55,1002,5.4,235,7575,Clear,clear sky,20.4568,87.9064,1732,998,20.9,9,Saturday,40399,Train 40399,STN21,Station STN21,STN77,Station STN77,2025-06-28 08:00:00,2025-06-28 08:00:27.114805,2025-06-28 08:15:00,2025-06-28 08:19:21.098857,18,1,STN24,11,,2
8.4,10.5,7.7,8.4,59,1010,33.3,14,1234,Fog,foggy,9.1399,74.2416,1376,1004,-0.5,44,Tuesday,27612,Train 27612,STN1,Station STN1,STN100,Station STN100,2025-07-22 10:45:00,2025-07-22 10:55:27.659820,2025-07-22 11:09:00,2025-07-22 11:19:17.329672,23,3,STN31,1,Minor,2
9.8,11.9,6.0,12.3,67,1022,49.8,314,1462,Fog,foggy,17.8582,90.9534,2047,1032,1.2,24,Monday,21519,Train 21519,STN26,Station STN26,STN72,Station STN72,2025-06-16 00:30:00,2025-06-16 00:41:41.327221,2025-06-16 00:44:00,2025-06-16 01:02:42.013904,21,2,STN46,9,,21
19.7,17.7,18.2,21.3,50,1015,65.7,241,8027,Rain,moderate rain,9.2631,71.8565,1200,1025,16.0,21,Tuesday,91525,Train 91525,STN50,Station STN50,STN97,Station STN97,2025-09-02 22:30:00,2025-09-02 22:39:42.860534,2025-09-02 22:52:00,2025-09-02 23:07:11.866966,27,2,STN34,10,,20
29.7,28.5,26.6,33.4,82,1045,45.4,356,9951,Thunderstorm,thunderstorm,16.21,74.4451,243,1043,26.1,23,Tuesday,41695,Train 41695,STN42,Station STN42,STN69,Station STN69,2025-09-09 02:30:00,2025-09-09 02:38:41.456643,2025-09-09 02:50:00,2025-09-09 03:03:07.153745,24,1,STN24,7,,2
24.5,25.6,20.7,28.3,58,1050,104.2,256,8269,Cyclone,strong cyclone winds,34.4277,94.908,1526,1045,14.8,53,Saturday,23652,Train 23652,STN33,Station STN33,STN60,Station STN60,2025-10-04 13:30:00,2025-10-04 13:46:12.043179,2025-10-04 13:43:00,2025-10-04 13:59:34.797251,13,1,STN83,8,,3
28.8,30.1,27.1,30.0,76,1006,48.9,44,8206,Clouds,scattered clouds,26.8154,68.1059,2875,1006,22.6,98,Saturday,55730,Train 55730,STN28,Station STN28,STN86,Station STN86,2025-10-25 03:15:00,2025-10-25 03:21:53.834439,2025-10-25 03:27:00,2025-10-25 03:38:52.796206,16,3,STN33,2,,3
3.1,5.3,1.9,5.3,33,1017,43.6,82,8050,Snow,light snow,24.8786,85.7662,881,1019,-2.0,22,Wednesday,81656,Train 81656,STN44,Station STN44,STN51,Station STN51,2025-10-08 12:30:00,2025-10-08 13:42:33.628944,2025-10-08 12:41:00,2025-10-08 13:52:05.826289,9,2,STN10,1,,20
14.8,15.9,13.9,14.9,44,1011,65.2,59,652,Fog,foggy,16.8022,85.8949,2915,1003,6.3,35,Saturday,87512,Train 87512,STN35,Station STN35,STN51,Station STN51,2025-08-09 01:00:00,2025-08-09 01:11:44.383911,2025-08-09 01:18:00,2025-08-09 01:30:38.228190,18,3,STN42,12,None,19
30.0,31.3,27.5,30.7,47,1007,63.2,334,9547,Clear,clear sky,16.5678,79.1569,1373,999,24.8,24,Thursday,50788,Train 50788,STN41,Station STN41,STN54,Station STN54,2025-08-14 10:45:00,2025-08-14 10:47:20.299221,2025-08-14 11:06:00,2025-08-14 11:15:43.242614,28,2,STN70,0,None,0
38.1,39.2,34.8,42.0,50,984,9.6,1,8402,Heatwave,extreme heat,23.0959,94.1493,105,992,34.2,51,Thursday,88318,Train 88318,STN43,Station STN43,STN74,Station STN74,2025-07-17 22:45:00,2025-07-17 22:56:30.775374,2025-07-17 22:58:00,2025-07-17 23:12:30.746838,15,3,STN67,9,Minor,18
7.6,5.5,3.9,9.5,100,1029,53.1,354,1125,Fog,foggy,11.2608,77.5696,141,1038,4.9,51,Friday,66832,Train 66832,STN39,Station STN39,STN62,Station STN62,2025-09-12 23:15:00,2025-09-13 00:26:24.735463,2025-09-12 23:22:00,2025-09-13 00:36:14.835281,9,2,STN90,1,Minor,18
43.6,45.7,42.7,46.9,25,1025,65.4,293,7162,Heatwave,extreme heat,10.1669,69.9388,2266,1015,36.9,90,Monday,44186,Train 44186,STN32,Station STN32,STN72,Station STN72,2025-08-25 03:00:00,2025-08-25 03:03:51.200461,2025-08-25 03:23:00,2025-08-25 03:26:03.669665,22,3,STN29,11,,1
21.5,21.2,19.2,22.2,54,1010,46.9,12,8865,Clear,clear sky,25.2474,94.6239,337,1008,11.6,8,Wednesday,58965,Train 58965,STN34,Station STN34,STN77,Station STN77,2025-10-29 23:30:00,2025-10-29 23:47:25.732894,2025-10-29 23:34:00,2025-10-29 23:52:27.201452,5,1,STN13,5,Minor,25
21.6,23.3,19.3,24.3,44,1024,64.8,232,8221,Thunderstorm,thunderstorm,9.8276,77.1674,1768,1016,13.9,41,Sunday,18151,Train 18151,STN43,Station STN43,STN64,Station STN64,2025-09-28 05:00:00,2025-09-28 05:15:33.880137,2025-09-28 05:18:00,2025-09-28 05:36:26.668597,20,2,STN70,6,,3
25.6,22.8,22.4,27.1,58,1030,20.6,211,5336,Rain,moderate rain,33.3806,71.7597,2418,1038,17.9,36,Wednesday,42304,Train 42304,STN27,Station STN27,STN83,Station STN83,2025-08-20 17:30:00,2025-08-20 18:02:10.224021,2025-08-20 17:47:00,2025-08-20 18:19:57.838934,17,1,STN67,1,,6
39.9,42.5,39.5,40.0,58,1023,50.4,45,7244,Heatwave,extreme heat,9.8771,82.4528,1250,1013,35.5,44,Sunday,93029,Train 93029,STN24,Station STN24,STN80,Station STN80,2025-06-15 11:15:00,2025-06-15 11:24:57.601961,2025-06-15 11:27:00,2025-06-15 11:42:06.631640,17,2,STN38,12,,20
23.7,25.8,20.6,25.1,78,1010,13.3,78,9587,Thunderstorm,thunderstorm,26.3063,94.5352,2000,1001,15.0,66,Friday,29465,Train 29465,STN33,Station STN33,STN55,Station STN55,2025-08-29 04:45:00,2025-08-29 04:58:57.841848,2025-08-29 04:53:00,2025-08-29 05:13:31.767989,14,1,STN43,1,,1
20.8,21.6,17.1,23.5,83,1014,28.3,161,6486,Rain,moderate rain,30.3834,81.4793,2323,1013,12.0,36,Saturday,11991,Train 11991,STN3,Station STN3,STN78,Station STN78,2025-09-27 22:30:00,2025-09-27 22:54:15.286351,2025-09-27 22:46:00,2025-09-27 23:13:13.195347,18,2,STN44,0,,3
25.3,26.3,24.6,29.1,100,1016,86.8,108,10000,Cyclone,strong cyclone winds,9.0521,93.6588,1156,1025,19.4,96,Tuesday,27544,Train 27544,STN49,Station STN49,STN70,Station STN70,2025-09-23 04:00:00,2025-09-23 04:19:21.297062,2025-09-23 04:11:00,2025-09-23 04:36:46.731685,17,1,STN59,12,Major,1
28.9,26.7,28.6,30.9,82,1045,5.2,0,7545,Clouds,scattered clouds,15.4155,89.4167,605,1054,23.1,87,Friday,25575,Train 25575,STN42,Station STN42,STN55,Station STN55,2025-08-29 09:30:00,2025-08-29 09:36:00.896699,2025-08-29 09:47:00,2025-08-29 09:52:28.792494,16,3,STN44,12,None,19
40.6,39.1,38.0,42.8,27,1047,15.8,232,7115,Heatwave,extreme heat,17.7268,83.719,2558,1057,38.1,61,Friday,85350,Train 85350,STN12,Station STN12,STN78,Station STN78,2025-08-22 19:30:00,2025-08-22 19:37:15.581195,2025-08-22 19:39:00,2025-08-22 19:47:03.544445,9,3,STN72,11,Minor,0
3.0,3.2,1.6,4.3,43,1007,65.8,277,4065,Snow,light snow,25.1688,77.3361,398,1006,-1.7,89,Wednesday,54243,Train 54243,STN47,Station STN47,STN95,Station STN95,2025-08-27 23:45:00,2025-08-28 00:23:25.691737,2025-08-27 23:56:00,2025-08-28 00:41:19.125008,17,1,STN55,1,,5
28.6,29.5,25.3,30.7,52,978,31.6,253,7132,Clouds,scattered clouds,19.3118,78.9449,2623,988,19.7,30,Saturday,93281,Train 93281,STN6,Station STN6,STN61,Station STN61,2025-07-05 13:00:00,2025-07-05 14:29:01.606681,2025-07-05 13:15:00,2025-07-05 14:51:16.741349,22,1,STN86,0,,13
