temp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,visibility,weather_main,weather_desc,lat,lon,altitude,sea_level,dew_point,clouds,day_of_week,train_number,train_name,origin_code,dest_code,origin_name,dest_name,scheduled_arr_time,actual_arr_time,scheduled_dept_time,actual_dept_time,dwell_minutes,day_of_journey,curr_station_code,tracks_on_route,trains_nearby
280.6175348,286.6362833,279.008408,298.46576,42.1,1015,4.11,258,58.31,Clear,bright and sunny,26.8215,76.1953,227.3,280.6175348,13.81,9.09,Monday,12769,Train_12769,ALD,VSKP,ALD,VSKP,9/12/2025 1:53,9/12/2025 1:57,9/12/2025 2:56,9/12/2025 2:06,46,16,ALD,5,11
309.0972956,309.6300402,279.8795961,290.6289819,63.5,1006,0.4,298,82.54,Thunderstorm,thunderstorm,23.8442,89.4259,1280.5,309.0972956,10.86,51.48,Monday,12481,Train_12481,MAS,DDN,MAS,DDN,9/12/2025 22:33,9/12/2025 22:34,9/12/2025 23:36,9/12/2025 23:41,35,28,MAS,2,12
304.9732792,308.3217802,305.1931236,291.203298,81.8,1004,11.03,197,79.71,Clear,clear sky,30.485,72.3572,650.4,304.9732792,12.79,6.39,Wednesday,12188,Train_12188,JAT,JAT,JAT,JAT,9/12/2025 21:20,9/12/2025 21:20,9/12/2025 22:24,9/12/2025 22:31,24,26,JAT,3,14
286.3701733,281.1828043,282.1773611,292.5887551,51.6,1010,9.38,322,76.46,Thunderstorm,thunderstorm,9.9513,89.165,417.9,286.3701733,7.49,35.64,Friday,12363,Train_12363,NDLS,JAT,NDLS,JAT,9/12/2025 5:58,9/12/2025 5:02,9/12/2025 6:00,9/12/2025 6:07,11,16,NDLS,2,13
285.454749,301.1672552,293.9726205,300.6387735,78.5,1014,8.71,55,59.45,Haze,mist,26.6489,71.8202,1311.2,285.454749,11.78,60.11,Friday,12238,Train_12238,CSTM,ALD,CSTM,ALD,9/12/2025 13:12,9/12/2025 13:12,9/12/2025 14:15,9/12/2025 14:23,44,7,CSTM,5,8
285.5021353,307.7574495,290.3328681,292.021499,55.6,1002,11.13,318,53.91,Thunderstorm,thunderstorm,22.4187,74.6207,676.4,285.5021353,14.02,55.61,Saturday,12400,Train_12400,NDLS,PNBE,NDLS,PNBE,9/12/2025 6:53,9/12/2025 6:56,9/12/2025 7:55,9/12/2025 7:01,37,25,NDLS,2,1
289.1272673,285.4172604,288.4202998,303.9809715,93.2,1004,10.13,202,73.05,Haze,mist,18.2373,70.9316,1222.1,289.1272673,8.86,40.47,Friday,12845,Train_12845,PNBE,ALD,PNBE,ALD,9/12/2025 21:24,9/12/2025 21:25,9/12/2025 22:24,9/12/2025 22:38,32,30,PNBE,1,8
295.7426929,297.0383569,304.9950004,294.1358216,93.7,1022,3.09,270,72.15,Rain,light rain,17.1874,84.1023,431.9,295.7426929,12.79,42.9,Sunday,12984,Train_12984,VSKP,NDLS,VSKP,NDLS,9/12/2025 1:53,9/12/2025 1:55,9/12/2025 2:54,9/12/2025 2:58,54,13,VSKP,5,14
292.9583506,307.4646489,278.6547019,284.050596,57.8,1020,5.29,108,57.54,Haze,mist,24.7625,87.006,55.7,292.9583506,12.25,22.68,Thursday,12303,Train_12303,CSTM,BBS,CSTM,BBS,9/12/2025 10:57,9/12/2025 10:57,9/12/2025 11:59,9/12/2025 11:05,48,5,CSTM,3,1
288.7368742,281.0183794,297.9136906,305.5127953,53.8,1004,1.89,115,52.25,Fog,fog,32.0569,78.6814,768.4,288.7368742,5.6,45.59,Monday,12090,Train_12090,CSTM,PNBE,CSTM,PNBE,9/12/2025 20:20,9/12/2025 20:21,9/12/2025 21:20,9/12/2025 21:34,54,30,CSTM,3,3
298.3555868,300.922608,306.901833,290.5727497,64.7,1008,1.95,91,53.23,Haze,hazy sky,21.3968,88.5704,195.3,298.3555868,10.82,95.33,Saturday,12391,Train_12391,BBS,BBS,BBS,BBS,9/12/2025 2:00,9/12/2025 2:03,9/12/2025 3:01,9/12/2025 3:07,48,1,BBS,4,9
284.1848158,288.9204702,294.8050455,294.9830064,54.4,1014,10.14,137,89.71,Fog,dense fog,30.2675,81.806,1143.8,284.1848158,6.3,85.05,Saturday,12183,Train_12183,PUNE,JAT,PUNE,JAT,9/12/2025 8:57,9/12/2025 8:57,9/12/2025 9:00,9/12/2025 9:10,24,5,PUNE,3,4
288.7643395,307.7318859,306.1046739,302.5633165,80.3,1002,12.88,302,81.34,Thunderstorm,thunderstorm with rain,18.8582,82.6001,450.3,288.7643395,14.67,14.52,Monday,12016,Train_12016,JAT,JAT,JAT,JAT,9/12/2025 7:04,9/12/2025 7:07,9/12/2025 8:07,9/12/2025 8:13,36,22,JAT,4,10
290.9908553,309.1317474,279.5677364,291.9736847,89.6,1005,14.44,56,86.88,Thunderstorm,thunderstorm,10.7647,86.9084,693.3,290.9908553,13.11,2.98,Sunday,12964,Train_12964,JAT,JAT,JAT,JAT,9/12/2025 10:52,9/12/2025 10:54,9/12/2025 11:55,9/12/2025 11:00,13,14,JAT,1,13
293.6820995,308.3279947,290.5637996,283.6975697,80.4,1016,9.43,49,57.8,Thunderstorm,thunderstorm with rain,9.6607,75.936,176.2,293.6820995,6.1,93.35,Friday,12011,Train_12011,BBS,VSKP,BBS,VSKP,9/12/2025 17:21,9/12/2025 17:23,9/12/2025 18:25,9/12/2025 18:33,38,11,BBS,3,9
303.5552788,294.2264265,285.8047337,293.2176314,89.5,1020,2.76,70,88.42,Haze,mist,9.386,77.0853,465.7,303.5552788,6.22,52.67,Monday,12165,Train_12165,NDLS,NDLS,NDLS,NDLS,9/12/2025 0:06,9/12/2025 0:10,9/12/2025 1:10,9/12/2025 1:15,18,2,NDLS,5,1
285.9902135,305.8612795,299.9246289,310.3334575,63.8,1007,1.58,81,55.71,Thunderstorm,thunderstorm,18.2641,88.119,1183.2,285.9902135,10.94,53.78,Monday,12145,Train_12145,DDN,DDN,DDN,DDN,9/12/2025 14:12,9/12/2025 14:16,9/12/2025 15:16,9/12/2025 15:19,8,24,DDN,4,8
295.4270332,305.336482,307.4389127,301.2520319,49.4,1020,12.19,104,70.36,Haze,mist,17.1054,88.0193,269.8,295.4270332,8.45,78.07,Wednesday,12281,Train_12281,MAS,ALD,MAS,ALD,9/12/2025 3:44,9/12/2025 3:48,9/12/2025 4:48,9/12/2025 4:50,33,29,MAS,3,3
297.7724371,289.5730142,285.6959019,302.1443745,84.3,1024,8.68,87,83.19,Haze,mist,27.3843,89.5297,988.4,297.7724371,5.35,31.47,Tuesday,12990,Train_12990,DDN,BBS,DDN,BBS,9/12/2025 3:51,9/12/2025 3:54,9/12/2025 4:51,9/12/2025 4:03,19,18,DDN,1,11
281.3935124,304.8674642,297.625238,300.9684646,61.6,1010,9.27,1,63.99,Clouds,scattered clouds,28.0562,88.0368,1380.3,281.3935124,10.42,48.19,Saturday,12548,Train_12548,PNBE,CSTM,PNBE,CSTM,9/12/2025 9:22,9/12/2025 9:26,9/12/2025 10:22,9/12/2025 10:28,21,15,PNBE,5,7
298.2263456,281.110229,283.942929,287.9697642,80.3,1005,11.72,359,66.99,Clouds,overcast clouds,9.3731,72.5474,1035.8,298.2263456,8.88,96.87,Sunday,12581,Train_12581,JAT,ALD,JAT,ALD,9/12/2025 10:20,9/12/2025 10:21,9/12/2025 11:23,9/12/2025 11:32,23,14,JAT,5,2
285.1157237,297.8880964,294.9599076,294.5500159,56.2,1007,10.55,83,55.13,Haze,mist,13.9703,86.4745,1226,285.1157237,6.01,67.21,Sunday,12168,Train_12168,PUNE,MAS,PUNE,MAS,9/12/2025 17:05,9/12/2025 17:08,9/12/2025 18:06,9/12/2025 18:14,42,25,PUNE,1,13
281.9515478,286.9002651,291.9179746,304.528194,44.9,1009,12.52,42,54.92,Fog,dense fog,15.4051,78.1968,208,281.9515478,13.02,15.37,Friday,12846,Train_12846,VSKP,PUNE,VSKP,PUNE,9/12/2025 22:19,9/12/2025 22:22,9/12/2025 23:23,9/12/2025 23:31,13,30,VSKP,3,7
308.4665661,283.6170066,307.1601599,285.0411869,99.6,1023,0.84,153,74.78,Rain,moderate rain,22.7855,89.816,413.6,308.4665661,14.15,13.32,Sunday,12169,Train_12169,NDLS,PNBE,NDLS,PNBE,9/12/2025 14:11,9/12/2025 14:15,9/12/2025 15:12,9/12/2025 15:20,31,13,NDLS,2,7
308.968961,282.308596,296.2558182,290.3355833,49.4,1002,11.21,326,77.02,Clear,clear sky,11.9019,79.4456,1347.1,308.968961,12.57,20.43,Friday,12764,Train_12764,PUNE,BBS,PUNE,BBS,9/12/2025 2:39,9/12/2025 2:43,9/12/2025 3:39,9/12/2025 3:44,53,2,PUNE,3,9
304.2519204,300.8886633,288.4851912,290.2895733,99.3,1022,12.76,93,81.09,Clouds,scattered clouds,11.6164,81.0767,1086.9,304.2519204,13.22,76.67,Wednesday,12345,Train_12345,PUNE,NDLS,PUNE,NDLS,9/12/2025 6:08,9/12/2025 6:11,9/12/2025 7:12,9/12/2025 7:14,19,19,PUNE,4,2
289.1384131,290.1962489,281.4228735,294.9605678,98.6,1013,4.29,297,72.27,Haze,mist,33.4823,80.5955,977.4,289.1384131,7.16,29.54,Wednesday,12498,Train_12498,ALD,JAT,ALD,JAT,9/12/2025 6:49,9/12/2025 6:51,9/12/2025 7:49,9/12/2025 7:59,41,8,ALD,4,8
282.9301634,301.7430031,282.5374049,311.4110622,87.6,1022,9.61,132,75.83,Clear,clear sky,29.7135,76.4347,1012.5,282.9301634,7.64,2.14,Thursday,12459,Train_12459,CSTM,MAS,CSTM,MAS,9/12/2025 16:27,9/12/2025 16:29,9/12/2025 17:27,9/12/2025 17:34,32,27,CSTM,3,5
300.5269908,281.9606902,284.7595079,284.0250764,79.6,1013,4.71,64,50.54,Clouds,scattered clouds,12.8777,71.5004,650.6,300.5269908,7.09,94.42,Friday,12296,Train_12296,MAS,PUNE,MAS,PUNE,9/12/2025 21:10,9/12/2025 21:14,9/12/2025 22:12,9/12/2025 22:22,54,22,MAS,4,10
293.2045748,289.4587101,285.5289998,297.5610298,74.7,1009,14.37,289,56.49,Rain,light rain,18.9773,87.913,114.6,293.2045748,12.65,16.97,Saturday,12942,Train_12942,CSTM,BBS,CSTM,BBS,9/12/2025 19:51,9/12/2025 19:53,9/12/2025 20:51,9/12/2025 20:00,59,17,CSTM,2,9
283.661147,296.1847388,303.5184817,287.3809405,92,1011,0.5,256,89.4,Fog,dense fog,17.6018,86.0535,1187.4,283.661147,14.48,0.96,Wednesday,12141,Train_12141,PUNE,DDN,PUNE,DDN,9/12/2025 23:31,9/12/2025 23:32,9/12/2025 0:34,9/12/2025 0:38,8,15,PUNE,2,8
294.8553073,303.7216949,294.8366836,311.1202964,57.4,1005,8.7,212,53.04,Haze,mist,29.3571,72.7905,1034.1,294.8553073,12.17,23.71,Friday,12896,Train_12896,BBS,JAT,BBS,JAT,9/12/2025 15:10,9/12/2025 15:11,9/12/2025 16:10,9/12/2025 16:24,25,20,BBS,5,3
281.0316556,289.5625751,293.7017273,285.3991051,68.1,1011,2.5,147,77.15,Rain,moderate rain,21.7757,85.5354,735.6,281.0316556,13.81,23.5,Saturday,12784,Train_12784,DDN,BBS,DDN,BBS,9/12/2025 15:23,9/12/2025 15:24,9/12/2025 16:27,9/12/2025 16:34,38,21,DDN,4,3
307.2796121,298.7767413,281.4430662,294.1080301,77.2,1022,10.68,60,57.04,Clouds,overcast clouds,11.4519,82.5169,1354.7,307.2796121,11.39,42.2,Saturday,12736,Train_12736,ALD,CSTM,ALD,CSTM,9/12/2025 7:55,9/12/2025 7:58,9/12/2025 8:58,9/12/2025 8:07,23,14,ALD,3,11
287.7633994,306.5793324,303.8041908,304.1365495,64.7,1013,2.64,148,78.67,Haze,hazy sky,27.9528,78.1829,537.4,287.7633994,8.88,92.04,Sunday,12694,Train_12694,CSTM,CSTM,CSTM,CSTM,9/12/2025 2:14,9/12/2025 2:17,9/12/2025 3:14,9/12/2025 3:22,41,27,CSTM,5,12
299.8756685,298.4758956,299.6844291,303.1366328,65.6,1001,3.53,87,78.24,Clear,clear sky,18.716,75.0804,476.8,299.8756685,9.26,87.92,Thursday,12732,Train_12732,PNBE,NDLS,PNBE,NDLS,9/12/2025 19:40,9/12/2025 19:43,9/12/2025 20:43,9/12/2025 20:53,8,3,PNBE,2,10
289.3513323,286.9887842,280.0300509,294.6818591,59.8,1008,7.42,323,59.37,Thunderstorm,thunderstorm,15.099,87.1946,1315.6,289.3513323,5.75,45.69,Tuesday,12052,Train_12052,VSKP,CSTM,VSKP,CSTM,9/12/2025 14:34,9/12/2025 14:37,9/12/2025 15:34,9/12/2025 15:44,41,17,VSKP,5,8
295.6020406,280.7320234,299.2350529,292.395725,73.9,1009,13.72,277,60.79,Fog,dense fog,18.1385,84.0038,1205.6,295.6020406,5.31,41.09,Monday,12117,Train_12117,VSKP,DDN,VSKP,DDN,9/12/2025 0:16,9/12/2025 0:19,9/12/2025 1:19,9/12/2025 1:21,55,3,VSKP,1,9
296.4013084,306.1029662,294.3061465,293.9283714,91,1016,3.18,81,76.19,Clouds,overcast clouds,21.4394,80.9548,796.7,296.4013084,11.95,55.5,Monday,12364,Train_12364,MAS,NDLS,MAS,NDLS,9/12/2025 9:24,9/12/2025 9:28,9/12/2025 10:25,9/12/2025 10:33,36,13,MAS,4,2
285.5456337,280.6380823,280.4517604,289.9282879,52.1,1016,2.16,128,65.6,Fog,fog,17.2641,82.1914,239.6,285.5456337,9.38,24.35,Thursday,12670,Train_12670,PNBE,PNBE,PNBE,PNBE,9/12/2025 1:48,9/12/2025 1:50,9/12/2025 2:50,9/12/2025 2:57,49,25,PNBE,3,3
309.0875388,306.2410502,291.7490192,288.1599882,96.1,1002,11.38,285,57.78,Haze,hazy sky,14.5315,71.8213,361.9,309.0875388,10.52,5.22,Friday,12957,Train_12957,CSTM,DDN,CSTM,DDN,9/12/2025 6:34,9/12/2025 6:38,9/12/2025 7:37,9/12/2025 7:45,52,18,CSTM,2,14
303.2539847,295.868114,292.5408886,296.4911909,81.3,1018,7.51,352,79.27,Thunderstorm,thunderstorm with rain,18.7596,79.4784,1001.5,303.2539847,10.58,93.92,Friday,12135,Train_12135,CSTM,NDLS,CSTM,NDLS,9/12/2025 13:18,9/12/2025 13:20,9/12/2025 14:22,9/12/2025 14:29,16,1,CSTM,5,14
308.1849682,308.172031,282.9732362,290.0560127,89.4,1000,13.68,279,56.17,Rain,heavy rain,8.5177,73.874,608.3,308.1849682,7.77,18.67,Friday,12413,Train_12413,PUNE,DDN,PUNE,DDN,9/12/2025 15:40,9/12/2025 15:44,9/12/2025 16:42,9/12/2025 16:50,45,7,PUNE,3,8
306.8448205,303.9634971,306.3709444,290.6238499,73.4,1011,2.2,269,84.23,Fog,fog,28.8574,74.1677,1262.9,306.8448205,9.76,19.84,Tuesday,12076,Train_12076,CSTM,CSTM,CSTM,CSTM,9/12/2025 14:30,9/12/2025 14:31,9/12/2025 15:32,9/12/2025 15:42,20,29,CSTM,4,2
297.9369994,309.9380233,303.4992611,301.7026819,86.8,1006,9.69,291,70.59,Clear,bright and sunny,12.6155,83.2261,1427.4,297.9369994,9.71,47.25,Saturday,12847,Train_12847,PNBE,PNBE,PNBE,PNBE,9/12/2025 6:16,9/12/2025 6:16,9/12/2025 7:16,9/12/2025 7:22,18,23,PNBE,3,8
307.6562271,290.5213545,298.0706701,311.05612,41,1003,3.49,202,54.23,Clouds,overcast clouds,9.1854,88.2251,1218.2,307.6562271,8.88,49.16,Monday,12961,Train_12961,VSKP,DDN,VSKP,DDN,9/12/2025 12:54,9/12/2025 12:57,9/12/2025 13:57,9/12/2025 13:05,58,5,VSKP,4,5
282.6547751,303.0156487,291.8688668,300.109116,89.1,1009,2.35,23,77.76,Clear,bright and sunny,25.6499,78.0751,597.4,282.6547751,13.21,1.84,Thursday,12556,Train_12556,PUNE,PNBE,PUNE,PNBE,9/12/2025 9:49,9/12/2025 9:49,9/12/2025 10:51,9/12/2025 10:03,5,2,PUNE,4,6
285.8794859,292.0579274,290.3529662,284.309384,42.4,1012,10.25,350,70.77,Fog,dense fog,28.8963,74.155,1193.6,285.8794859,9.51,14.8,Friday,12017,Train_12017,NDLS,PUNE,NDLS,PUNE,9/12/2025 8:22,9/12/2025 8:22,9/12/2025 9:26,9/12/2025 9:33,56,30,NDLS,4,14
281.3568187,294.3962686,297.529204,284.2675084,93.4,1001,8.91,310,61.92,Thunderstorm,thunderstorm with rain,29.9734,82.9749,559.6,281.3568187,11.04,37.82,Wednesday,12866,Train_12866,PNBE,DDN,PNBE,DDN,9/12/2025 8:46,9/12/2025 8:47,9/12/2025 9:50,9/12/2025 9:54,59,17,PNBE,5,10
289.7599099,298.8251639,294.3629561,310.5426966,99.5,1009,11.32,207,66.9,Rain,moderate rain,21.3247,87.4237,292.3,289.7599099,13.96,68.37,Sunday,12940,Train_12940,BBS,ALD,BBS,ALD,9/12/2025 5:00,9/12/2025 5:00,9/12/2025 6:04,9/12/2025 6:14,36,29,BBS,4,12
291.6603187,306.2103134,279.8681932,290.9187237,57.6,1020,4.64,279,61.93,Rain,heavy rain,13.5449,84.9664,98.4,291.6603187,13.66,22.84,Tuesday,12402,Train_12402,CSTM,JAT,CSTM,JAT,9/12/2025 23:57,9/12/2025 23:57,9/12/2025 0:57,9/12/2025 0:03,25,21,CSTM,3,4
288.140471,309.5225041,293.3750795,284.7620096,52.6,1021,6.72,204,60.52,Clear,clear sky,27.9051,87.3751,609.3,288.140471,13.9,42.3,Friday,12204,Train_12204,VSKP,CSTM,VSKP,CSTM,9/12/2025 11:09,9/12/2025 11:10,9/12/2025 12:10,9/12/2025 12:17,8,10,VSKP,1,3
304.8621253,303.0482024,302.1921085,299.9713376,85.9,1024,6.08,151,56.54,Haze,hazy sky,26.8923,80.7311,1360.2,304.8621253,7.7,55.73,Monday,12498,Train_12498,DDN,BBS,DDN,BBS,9/12/2025 22:07,9/12/2025 22:09,9/12/2025 23:10,9/12/2025 23:15,13,4,DDN,3,8
290.7025998,292.5330035,291.7771963,300.7094633,55.2,1003,14.76,25,64.51,Haze,hazy sky,14.6493,85.0375,396.5,290.7025998,5.35,88.86,Sunday,12323,Train_12323,CSTM,PNBE,CSTM,PNBE,9/12/2025 19:41,9/12/2025 19:45,9/12/2025 20:43,9/12/2025 20:51,55,9,CSTM,5,9
288.4280353,292.6407101,279.5586973,301.4551446,91.9,1017,4.38,193,60.04,Thunderstorm,thunderstorm,32.392,72.8013,349.4,288.4280353,7.61,32.61,Thursday,12594,Train_12594,BBS,CSTM,BBS,CSTM,9/12/2025 19:25,9/12/2025 19:25,9/12/2025 20:28,9/12/2025 20:36,50,21,BBS,4,13
296.2808825,302.127469,301.588346,290.0220608,46.2,1004,4.42,335,77.34,Rain,moderate rain,10.818,76.9655,1456.2,296.2808825,7.79,13.36,Friday,12561,Train_12561,VSKP,MAS,VSKP,MAS,9/12/2025 21:33,9/12/2025 21:36,9/12/2025 22:35,9/12/2025 22:40,26,11,VSKP,1,8
284.2277267,287.1633144,284.0409135,282.4533205,47.6,1018,5.32,237,77.36,Clear,bright and sunny,34.5326,77.791,86.3,284.2277267,14.09,48.93,Monday,12280,Train_12280,MAS,ALD,MAS,ALD,9/12/2025 13:18,9/12/2025 13:19,9/12/2025 14:18,9/12/2025 14:32,16,26,MAS,5,9
304.0659094,283.3142234,285.758625,310.9504611,98.7,1001,8.47,320,70.07,Clear,clear sky,31.2267,80.2259,1189.4,304.0659094,11.49,74.67,Sunday,12165,Train_12165,CSTM,CSTM,CSTM,CSTM,9/12/2025 19:13,9/12/2025 19:13,9/12/2025 20:16,9/12/2025 20:18,34,12,CSTM,2,1
282.2365193,290.6386647,282.9411906,289.5267914,80.4,1011,3.78,74,81.12,Clear,bright and sunny,26.5733,88.5815,516,282.2365193,5.82,10.99,Wednesday,12242,Train_12242,PUNE,JAT,PUNE,JAT,9/12/2025 6:07,9/12/2025 6:09,9/12/2025 7:07,9/12/2025 7:14,34,12,PUNE,2,5
309.6066081,288.6171697,287.9064519,302.2807886,90.8,1016,13.73,162,83.65,Fog,fog,33.3462,87.4859,104.4,309.6066081,6.35,42.47,Tuesday,12888,Train_12888,ALD,ALD,ALD,ALD,9/12/2025 7:50,9/12/2025 7:52,9/12/2025 8:50,9/12/2025 8:03,36,18,ALD,2,12
303.1673431,288.8892436,300.7025452,303.1988961,59.5,1009,3.99,298,73.19,Thunderstorm,thunderstorm with rain,27.5024,72.6905,1380.8,303.1673431,6.56,1.78,Thursday,12478,Train_12478,PNBE,JAT,PNBE,JAT,9/12/2025 7:00,9/12/2025 7:03,9/12/2025 8:03,9/12/2025 8:05,40,4,PNBE,1,7
285.9614704,287.0082325,293.5815758,300.3002225,80.6,1001,13.44,28,74.76,Haze,hazy sky,13.1423,73.4558,252.5,285.9614704,11.3,3.36,Monday,12163,Train_12163,BBS,CSTM,BBS,CSTM,9/12/2025 7:47,9/12/2025 7:47,9/12/2025 8:50,9/12/2025 8:59,11,29,BBS,3,8
280.1656635,281.2627957,284.1464382,291.3872218,75.7,1005,1.55,164,61.32,Haze,hazy sky,19.9382,77.1528,850.1,280.1656635,12.35,48.3,Saturday,12323,Train_12323,CSTM,ALD,CSTM,ALD,9/12/2025 1:24,9/12/2025 1:27,9/12/2025 2:26,9/12/2025 2:30,21,28,CSTM,1,14
304.4638429,280.536218,304.3349023,290.1328876,76.2,1007,9.85,336,85.79,Fog,dense fog,9.9306,75.8149,447.4,304.4638429,13.6,29.82,Wednesday,12567,Train_12567,NDLS,BBS,NDLS,BBS,9/12/2025 13:23,9/12/2025 13:25,9/12/2025 14:27,9/12/2025 14:33,5,9,NDLS,1,11
301.2057203,309.6316717,304.3874556,299.9300485,81,1018,13.6,185,50.97,Clouds,broken clouds,18.5208,82.2954,144.5,301.2057203,14.41,84.51,Tuesday,12550,Train_12550,DDN,BBS,DDN,BBS,9/12/2025 9:46,9/12/2025 9:48,9/12/2025 10:46,9/12/2025 10:53,18,8,DDN,1,2
301.870215,292.833194,304.1173528,307.982869,74.5,1010,2.53,53,63.94,Fog,dense fog,28.0233,88.0555,122.4,301.870215,7.02,60.22,Tuesday,12830,Train_12830,VSKP,JAT,VSKP,JAT,9/12/2025 17:19,9/12/2025 17:23,9/12/2025 18:20,9/12/2025 18:30,51,19,VSKP,2,12
303.1381104,291.5297994,285.1638863,310.4020119,65.7,1024,14.52,294,78.87,Thunderstorm,thunderstorm with rain,18.434,89.2458,217.6,303.1381104,8.1,45.39,Saturday,12639,Train_12639,BBS,JAT,BBS,JAT,9/12/2025 17:55,9/12/2025 17:57,9/12/2025 18:57,9/12/2025 18:01,48,24,BBS,3,11
282.2213396,300.3894185,291.5371803,285.1771741,56.6,1011,6.79,41,53.2,Clear,clear sky,16.9179,83.0721,153.5,282.2213396,7.4,40.79,Wednesday,12902,Train_12902,PNBE,PUNE,PNBE,PUNE,9/12/2025 17:29,9/12/2025 17:30,9/12/2025 18:31,9/12/2025 18:37,48,13,PNBE,1,14
290.7539719,286.5476166,307.5496897,286.6448584,86.1,1008,14.19,284,57.33,Fog,fog,24.0746,86.7632,1152.8,290.7539719,8.59,49.72,Monday,12633,Train_12633,CSTM,BBS,CSTM,BBS,9/12/2025 15:04,9/12/2025 15:08,9/12/2025 16:08,9/12/2025 16:18,42,2,CSTM,3,4
283.4760718,308.4988355,301.1603743,310.3420878,53.6,1001,10.15,137,73.57,Clear,bright and sunny,31.5495,80.504,754.1,283.4760718,14.15,4.04,Tuesday,12758,Train_12758,NDLS,BBS,NDLS,BBS,9/12/2025 19:02,9/12/2025 19:05,9/12/2025 20:06,9/12/2025 20:15,30,19,NDLS,4,7
305.8931028,303.5903504,278.8150226,304.0960569,81.5,1007,4.52,186,72.4,Thunderstorm,thunderstorm,9.2847,74.1665,547.2,305.8931028,10.75,89.28,Thursday,12697,Train_12697,VSKP,PNBE,VSKP,PNBE,9/12/2025 4:31,9/12/2025 4:33,9/12/2025 5:31,9/12/2025 5:41,31,14,VSKP,1,5
